"","mean.est","ci.lwr","ci.upr","df","chisq.theo","pval"
"2.5%",14.767771,9.9377,20.989925,6,12.591587243744,0.0221419091858401
"2.5%1",8.424339,4.6919,15.194225,4,9.48772903678115,0.0772140904239396
