"","mean.est","ci.lwr","ci.upr","df","chisq.theo","pval"
"2.5%",9.64833436213992,2.166625,20.00235,4,9.48772903678115,0.0467869404578254
"2.5%1",1.0980412371134,0.035,3.506975,2,5.99146454710798,0.577515141110513
