"","mean.est","ci.lwr","ci.upr","df","chisq.theo","pval"
"2.5%",14.815853,10.725775,18.99905,6,12.591587243744,0.0217383480660525
"2.5%1",2.646439,0.978675,6.70975,4,9.48772903678115,0.618619089015788
