"","Predictor","Chisq","Df","P.Value"
"1","zcor.ECD.B",0.115048050034407,1,0.734468607553
"2","ECD_max",1.47715902429811,1,0.224219548848277
"3","study_type",2.81085720017484,1,0.0936283343404634
