"","residLD","residB","fittedLD","fittedB"
"47.1/21",-0.206131443515998,-0.243782518422041,-1.02133677280326,-1.31718532238567
"96.1/22",0.209319785293726,-0.338698112760707,-0.632490104015701,-1.03041687167394
"119.1/37",-0.830112840382127,0.552442075266309,-0.754069923409744,1.13069600916174
"123.1/38",-0.010466392642417,-0.0894316675947129,-0.174738539508996,-0.000514613324201845
"123.1/40",0.0912047792550503,0.159872385532731,-0.0969204277769915,-0.256495323464889
"166.1/51",0.203596991191339,0.0379486476067779,0.310282120012992,0.0323943528251572
"168.1/57",0.0821852987558616,-0.081484823153772,-0.190612583801812,-0.491451707695433
"180.1/58",-0.132193456623855,-0.241483920697504,-0.811775582028914,-1.08328320287589
"213.1/62",-0.0593863608494486,-0.0843442204853524,-0.471205064548037,-0.317479739312598
"213.1/65",0.0369238846089603,0.110209725845209,-0.201405301383854,-0.220519593341259
"215.1/67",-0.22859319359776,0.590130192589615,0.314187346816202,2.27258226235971
"215.1/73",0.347841167940913,-0.0293983120173165,0.859057216678131,1.68879775166969
"215.1/80",0.375991647321453,0.00726976850078301,0.904663224272405,1.76577881535627
"252.1/81",-0.879674383850662,-0.255166276415832,-1.39273920857292,-0.454860283292189
"254.1/82",-0.2950621282596,0.196973794970105,-0.601002069990728,0.269266894564675
"317.1/93",0.429398615347952,0.0397416773258844,0.330884781371018,-0.181202277274714
"317.2/94",-0.171088670728354,0.108933234529455,-0.425547725086203,0.118508828764609
"322.1/98",-0.822421284257719,-0.36214019555553,-1.8574130247933,-1.15881010031728
"374.1/105",0.0142528915998406,0.103883877919213,-0.191279004449406,0.242084555970885
"398.1/113",0.0164412058335967,-0.00150678784419122,-0.299403434609849,-0.315005094975985
"34.1/115",-0.463586961641347,-0.268628409011097,-1.07121971419306,-1.06818047770691
"34.1/116",0.324000094968482,0.189064535100289,0.091734822196227,-0.0227606953463126
"13.1/117",0.128336111548789,-0.364090207767543,-0.373577690800883,-0.605552069018851
"13.2/120",0.145092529710328,-0.105055949523635,-0.207819642773176,-0.25287994965621
"52.1/123",-0.113424866688417,0.147068131034165,-0.507848314796647,-0.727987767844884
"52.1/130",-0.17447207961541,0.182397820544041,-0.542837334323091,-0.709712861062087
"52.1/127",0.271012557754778,-0.501576519421224,-0.384172878699714,-1.21984718842567
"52.1/128",0.0659614937448963,-0.528189229155482,-0.54721416795907,-1.2435932086852
"52.1/129",-0.120540983210412,0.337587009017736,-0.457895313349931,-0.635761631542005
"70.1/155",-0.0441986487445614,0.104542520655168,-0.474174681731734,-0.0160112600156558
"70.1/240",-0.289449048421317,-0.0299843394465002,-0.642103484091576,-0.12900147622422
"70.1/181",-0.134435454771921,0.133018548739636,-0.500391143137779,-0.00298222872194798
"70.1/146",-0.631241326674566,0.00988723834044858,-0.800890402772415,-0.0873968775985439
"70.1/177",0.756097676468385,-0.0410859169342206,-0.0642128077459984,-0.108992211410247
"70.1/172",0.439385507877037,0.037081212743651,-0.218852593792217,-0.0599286819312066
"95.1/271",-0.304684198241592,-0.0334620250956191,-0.810416759671517,-0.338878113130231
"95.1/270",-0.703204144091629,-0.187526814920238,-0.935414379056658,-0.388073382543744
"176.1/273",0.362017353905719,0.0642072499109555,-0.259652102223008,-0.444150987256832
"176.1/274",0.291851843585018,-0.032418024400396,-0.319526409814847,-0.475556973279142
"176.1/275",-0.281879254368606,0.0462132141615558,-0.621969427521008,-0.449999565066915
"349.1/281",-0.582357361915539,0.124650912815474,-0.853253470777501,-0.0998086355789879
"349.1/285",0.30376545003842,-0.043104368832344,-0.085491906593354,-0.20649711778227
"252.1/290",0.342421074895071,0.403537383386193,-0.559697493856758,-0.14686068914886
"281.1/293",0.13805756332626,-0.145809453778632,-0.400727140285476,-0.461515115361489
"281.1/292",-0.179242654614222,-0.154722266286731,-0.925994527242026,-0.465255031697092
"29.1/313",0.197679606547693,0.338031632689946,0.000631534358913472,-0.316663791006196
"29.1/314",-0.140462557798686,-0.781134684558938,-0.637981810173429,-0.771661499351322
"29.2/299",-0.00193876518812005,-0.0658429279368042,-0.073995203411976,-0.467330972199213
"29.2/320",0.67882696735517,-0.43191618503553,0.485281750220781,-0.620195817333404
"29.1/321",0.163213953521779,0.47215101014642,-0.00624471730444635,-0.260283417842836
"29.1/326",-0.136251507409399,-0.292504888235104,-0.527288976922581,-0.585340068823395
"29.2/311",0.183798020066822,0.11006352200135,0.142134997149668,-0.39257151392598
"29.2/308",-0.245332053657894,0.181580962085265,-0.291178033911178,-0.339542166565611
"170.1/335",0.337309974051268,0.113328888595561,-0.268326737998906,-0.151638535449738
"170.1/336",0.307685005512374,0.109635242073825,-0.280146549353927,-0.153250190718302
