"","Predictor","Chisq","Df","P.Value"
"1","zcor.ECD.B",7.07570085849499,1,0.00781362532320173
"2","ECD_max",0.34631087416923,1,0.556208920678619
"3","study_type",0.198723968568934,1,0.655752799205166
