"","residLD","residB","fittedLD","fittedB"
"25.1/1",0.0068067020236386,0.595593217608017,0.396555335097659,0.868998218306522
"25.1/2",-0.0320354620922199,-0.606055164219521,0.176696505120256,-0.437105954977097
"42.1/5",-0.221603888784088,0.241183749755174,-0.202719988660406,0.680004355917587
"42.1/14",0.461351783238838,-0.108606306553891,0.457413257544997,0.335075878585337
"42.1/17",-0.174436095962223,0.130491057157215,-0.169414080745309,0.550142031299431
"98.1/24",-0.0227258837148919,-0.115143689065002,-0.420419777549204,-0.476870052575872
"98.2/26",-0.105641353966484,-0.148946042524982,-0.810224182361835,-0.48356706528611
"101.1/28",-0.100421747756619,0.00197948615115356,-0.505463769180373,0.00121927993761577
"111.1/29",0.615207240645248,-0.155663710899169,0.313760452854377,-0.637030685991203
"111.1/35",-0.740472642509979,-0.102378701852005,-1.18223809256465,-0.35170572633721
"119.1/36",-0.0357734552361461,0.962428317005853,0.169913895199856,1.71238506822294
"129.1/42",-0.0890223508632347,-0.189502952095318,0.237093031433406,0.33502951338709
"129.1/43",0.0317918172568716,0.12945278784975,0.566293744701386,0.668843640621123
"129.1/44",0.028037164416138,0.275497960669343,0.571668013900668,0.821692251873306
"157.1/48",0.0196872707738611,-0.00599916187929665,0.695789567413253,0.337901753494502
"203.1/59",-0.365822563532723,0.0515160690314158,-1.28948491544758,0.447665428854228
"210.1/61",-0.0242679836230389,-0.057998434576922,-0.434181079688903,-0.645933147559998
"275.1/84",0.304291886938307,0.0774315876277179,1.68483251970216,0.612030435250127
"279.1/86",-0.0618444769466256,-0.0034966153209035,-0.171904263113728,0.245460896712656
"289.1/89",-0.15915588960415,-0.00220056590242237,-1.06769762760857,0.314371791725619
"326.1/99",0.0347426211612112,0.0857774834610636,0.571154880718911,0.529898387493015
"385.1/108",-0.0226174396582479,-0.0493154086833095,-0.293665937786328,-0.261322763656329
"385.1/109",-0.0358010049779596,-0.0537861281716907,-0.319238606957815,-0.269807545899023
"392.1/110",-0.0923655097613013,-0.32417717820471,0.101980336496807,-1.44744555735536
"392.1/111",0.258703053012603,-0.32417717820471,0.947851484145975,-1.44744555735536
"392.1/112",-0.0268858149909956,-0.32417717820471,0.259748335218886,-1.44744555735536
"58.1/346",0.0650325631150131,0.0458381783769276,0.532700162028701,0.440548432382599
