"","mean.est","ci.lwr","ci.upr","df","chisq.theo","pval"
"2.5%",6.21626326326326,2.62095,11.46265,4,9.48772903678115,0.183569250212521
"2.5%1",3.42527427427427,1.83185,5.67645,2,5.99146454710798,0.180389453080972
