"","residLD","residB","fittedLD","fittedB"
"25.1/4",-0.0292148517985505,-0.398717455071528,0.176421241741121,-0.285235220087561
"42.1/5",-0.711509982931968,-0.577247390364586,-0.0762267790710552,-0.953665006428421
"42.1/7",1.3323922412103,1.72590549343685,0.232511578371908,-0.808069862158203
"42.1/9",-0.60307063681589,-1.13183729341464,-0.0587411181896076,-0.987953015413404
"98.1/15",-0.0564432671353383,0.186144088851539,-0.417539107076861,-0.548271953476048
"98.2/23",-0.141244901480922,-0.175887714449221,-0.807182366015751,-0.366309736389304
"101.1/32",-0.140082752075911,0.158659348024727,-0.500210540826914,-0.058117358483984
"119.1/33",-0.282440651065769,-0.191342992343019,0.252136293809731,-0.0284359368592145
"129.1/38",-0.530119221758369,0.746518194500579,0.281879633064988,0.597898067273113
"129.1/39",0.209409328227858,-1.61808235882597,0.548259418838889,0.558669038888817
"129.1/40",0.210813428149136,-0.295477973605298,0.553109896054793,0.580611216351317
"157.1/41",0.0429107060975341,-0.269576843880712,0.693833801346093,0.375967904722007
"203.1/44",-0.39832572550078,-0.0964570120938442,-1.2849335624104,-0.704595367515376
"275.1/60",-0.310023982846279,0.74445859126951,1.33251347674539,0.372158490743745
"275.1/61",0.614867019515076,-0.16177809126358,1.65153537043771,-0.252237665444249
"279.1/66",-0.0649326905712789,-0.0186750157096452,-0.171649551546941,-0.0302508998332892
"289.1/71",-0.191231569925095,0.127310731026278,-1.06471073755906,0.206758928615232
"326.1/78",0.0429160068454825,0.397467147434668,0.570623962266474,0.497829224951142
"153.1/148",-0.166809265693439,-0.0645459100770308,0.722821951350271,0.23142219580304
"153.2/149",-0.66642546617815,-0.762673944285714,0.410351771352689,0.360573550226918
"153.3/150",-0.761271235035876,-0.147863966761887,0.20116028745623,0.399785800639909
"153.4/151",0.697364866409433,0.558941494754298,1.57678768134978,0.842350579077784
"153.5/152",0.318394455509102,-0.420383972303918,0.801754273524875,0.244916659949672
"153.1/153",0.318993988789309,0.253381897380093,0.848900126933807,0.242053814648825
"153.2/154",0.805039299197476,1.09857978944915,0.581446395599429,0.422814536413794
"153.3/155",0.758217040171304,0.520225896246228,0.374975114825815,0.422126963041039
"153.4/156",0.177811401273817,0.415494625782138,1.51754987359808,0.837553664810576
"153.5/157",0.065945385522293,0.853472174721118,0.776039319852212,0.287514862125984
"276.1/159",1.6996981430546,0.141501550668333,1.7869991916661,-0.161548769868557
"276.1/162",-0.34961814702281,0.143346286632371,1.61304059167416,-0.162274023258085
"276.1/164",0.0124278790177943,0.136610268448019,1.64376564705396,-0.162981698763949
"276.1/168",-0.493255509342645,0.146155123515607,1.60105704314182,-0.164279648147758
"97.1/170",-0.0765905287572843,-1.2207073392578,-0.376903065086947,-1.43338170960926
"154.1/172",-0.251139711675778,0.564959743850634,0.657451554435409,0.932242918096629
"154.1/173",0.192558398556557,-0.339821574303405,0.773423941193928,0.895949251572282
"245.1/175",-0.149268448432988,-0.584956327224995,-0.302774849966799,-1.13561638087275
"245.1/176",-0.713880078818128,-0.333478285210841,-0.448621101622888,-0.354864228680544
"245.1/177",-0.248584562888885,0.223271707049097,-0.322850844209843,-0.320198377982399
"245.1/178",0.471647170621976,0.931606976727413,-0.129386431685807,-0.489759162688774
"245.1/179",0.543839924826445,-0.406335049038955,-0.111359428174525,-0.573065672168411
"113.1/180",-0.305585949716012,-0.769811408562168,0.637340394233322,-0.941748915671436
"113.1/181",0.444946448313396,-0.533262802920932,0.736866292873984,-1.23699936845417
"171.1/184",-0.311875726811874,-0.855089608811611,0.492775371644897,-0.0904934471363687
"171.1/185",0.414613131843496,0.28819488963768,0.314274808111422,-1.12047004251643
"235.1/190",-0.477574775052898,-0.209906337244133,0.981905757877455,-0.00312251955285231
"235.1/189",0.68009433907407,0.17004427420887,0.932290889552885,-0.405264504525722
"297.1/192",-0.397727285205947,-0.249597010056994,0.187562326194375,-0.471304658243388
"297.1/193",0.444234134955441,0.313987839248155,0.407984763233683,-0.448320544086701
