"","studyID","Case.study","zcor.ECD.LD","var.zcor.ECD.LD","n.replicate.LD","LD.metric","LD.unit","study_type","experiment_type","system","ecosystem","country","exp_duration","litter.species","litter.type","meshsize..mm.","ECD_subcategory","ECD_identity","ECD_mixture","ECD_mixture_identity_type","ECD_intensity_norm_max","ECD_intensity_norm_min","ECD_magnitude","ES_origin","k_rate_imputation_M1","zcor.ECD.LDd","var.zcor.ECD.LDd","n.replicate.LDd"
"156",247,247.3,-0.691098309746496,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","deciduous forest","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"no",NA,4.51305489708029,-5.1892834455239,9.70233834260419,"Hedge's d","SD imputed",-0.691098309746496,0.0476190476190476,24
"157",247,247.1,-0.220271729973248,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","regularly tilled fallow","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"no",NA,3.24837914706868,-5.1892834455239,8.43766259259258,"Hedge's d","SD imputed",-0.220271729973248,0.0476190476190476,24
"158",247,247.2,-0.206849498257606,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","mature grassland","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"no",NA,3.24837914706868,-5.1892834455239,8.43766259259258,"Hedge's d","SD imputed",-0.206849498257606,0.0476190476190476,24
"159",247,247.3,-0.349545040635517,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","deciduous forest","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"no",NA,3.24837914706868,-5.1892834455239,8.43766259259258,"Hedge's d","SD imputed",-0.349545040635517,0.0476190476190476,24
"160",247,247.1,-0.447067678661635,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","regularly tilled fallow","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"yes","resource",4.51305489708029,-5.1892834455239,9.70233834260419,"Hedge's d","SD imputed",-0.447067678661635,0.0476190476190476,24
"161",247,247.2,-0.166106939387857,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","mature grassland","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"yes","resource",4.51305489708029,-5.1892834455239,9.70233834260419,"Hedge's d","SD imputed",-0.166106939387857,0.0476190476190476,24
"162",247,247.3,-0.735258431120639,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","deciduous forest","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"yes","resource",4.51305489708029,-5.1892834455239,9.70233834260419,"Hedge's d","SD imputed",-0.735258431120639,0.0476190476190476,24
"163",247,247.1,-0.455262349999684,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","regularly tilled fallow","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"yes","resource",3.24837914706868,-5.1892834455239,8.43766259259258,"Hedge's d","SD imputed",-0.455262349999684,0.0476190476190476,24
"164",247,247.2,-0.587288853913368,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","mature grassland","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"yes","resource",3.24837914706868,-5.1892834455239,8.43766259259258,"Hedge's d","SD imputed",-0.587288853913368,0.0476190476190476,24
"165",247,247.3,-1.13931103614466,0.0476190476190476,24,"dry mass remaining","%","experimental","field","terrestrial","deciduous forest","UK",365,"Raphanus; Dactylis; Quercus","leaves","2","nutrient enrichment",NA,"yes","resource",3.24837914706868,-5.1892834455239,8.43766259259258,"Hedge's d","SD imputed",-1.13931103614466,0.0476190476190476,24
