"","studyID","Case.study","zcor.ECD.D","var.zcor.ECD.D","n.replicate.D","zcor.ECD.LDd","var.zcor.ECD.LDd","n.replicate.LDd","study_type","experiment_type","system","ecosystem","country","litter.species","litter.type","exp_duration","meshsize..mm.","LD.metric","LD.unit","D.sampling","taxonomic.group","community.nature","consumer.taxa","D.metric","D.unit","ECD_subcategory","ECD_identity","ECD_mixture","ECD_mixture_identity_type","ECD_intensity_norm_max","ECD_intensity_norm_min","ECD_magnitude","ES_origin","D_imputation_M1","D_imputation_M2","k_rate_imputation_M1"
"1",25,25.1,0.990573174756694,0.0416666666666667,27,0.3972196011978,0.00952380952380952,108,"observational","field","aquatic","boreal stream","Sweden","Alnus glutinosa","broad leaves",34,"0.3","rate (k)","d-1","litterbag","M","D","fungi","biomass","mg C/g DW","nutrient enrichment","DIN","yes","stressors, resources",-0.752880039971948,-5.1892834455239,4.43640340555195,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"2",25,25.1,-0.560816447336805,0.0416666666666667,27,0.173570164140982,0.00952380952380952,108,"observational","field","aquatic","boreal stream","Sweden","Alnus glutinosa","broad leaves",34,"5","rate (k)","d-1","litterbag","A","DFW","invertebrates","abundance","ind/bag","nutrient enrichment","DIN","yes","stressors, resources",-0.752880039971948,-5.1892834455239,4.43640340555195,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"3",42,42.1,-0.0270454139568778,0.0666666666666667,18,-0.259937866708111,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Alder; Oak; white hornbeam","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","D","shredders","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"4",42,42.1,0.0253570781407213,0.0666666666666667,18,-0.259937866708111,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Alder; Oak; white hornbeam","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","collector-filterer","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"5",42,42.1,2.13934425645804,0.0666666666666667,18,-0.259937866708111,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Alder; Oak; white hornbeam","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","collector-gatherers","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"6",42,42.1,2.24741030592614,0.0666666666666667,18,-0.259937866708111,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Alder; Oak; white hornbeam","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","invertebrates","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"7",42,42.1,0.479308577873541,0.0666666666666667,18,-0.259937866708111,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Alder; Oak; white hornbeam","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","predators","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"8",42,42.1,-0.334195549997833,0.0666666666666667,18,-0.259937866708111,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Alder; Oak; white hornbeam","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","scrapers","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"9",42,42.1,-0.421743105625369,0.0666666666666667,18,0.576533775760138,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Prunus laurocerasus","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","D","shredders","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"10",42,42.1,-0.00972851995861292,0.0666666666666667,18,0.576533775760138,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Prunus laurocerasus","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","collector-filterer","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"11",42,42.1,-0.316584398963407,0.0666666666666667,18,0.576533775760138,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Prunus laurocerasus","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","collector-gatherers","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"12",42,42.1,2.99680254097434,0.0666666666666667,18,0.576533775760138,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Prunus laurocerasus","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","invertebrates","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"13",42,42.1,-0.0753570596336987,0.0666666666666667,18,0.576533775760138,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Prunus laurocerasus","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","predators","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"14",42,42.1,-0.290740474998302,0.0666666666666667,18,0.576533775760138,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Prunus laurocerasus","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","scrapers","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"15",42,42.1,-0.443550135783987,0.0666666666666667,18,-0.214453287054584,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Robinia pseudoacacia","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","D","shredders","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"16",42,42.1,-0.0175942948020349,0.0666666666666667,18,-0.214453287054584,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Robinia pseudoacacia","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","collector-filterer","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"17",42,42.1,2.05894068058796,0.0666666666666667,18,-0.214453287054584,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Robinia pseudoacacia","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","collector-gatherers","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"18",42,42.1,2.12657967380869,0.0666666666666667,18,-0.214453287054584,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Robinia pseudoacacia","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","invertebrates","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"19",42,42.1,-0.0782068285147844,0.0666666666666667,18,-0.214453287054584,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Robinia pseudoacacia","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","predators","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"20",42,42.1,-0.342477520286625,0.0666666666666667,18,-0.214453287054584,0.0666666666666667,18,"observational","field","aquatic","stream","Italy","Robinia pseudoacacia","leaves and twigs",21,"10","mass loss","ratio","litterbag","A","DFW","scrapers","abundance","ind/bag","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"21",47,47.1,-1.36169371720739,0.0333333333333333,33,-1.04174682703602,0.00980392156862745,105,"observational","field","aquatic","Mountain stream","USA","Salix spp.","broad leaves",171,"5","rate (k)","d-1","Hess sampler","A","D","shredders","biomass","mg DM/m2","metals","Zn","yes","stressors",2.87734225760583,0.342004754190939,2.53533750341489,"Correlation","SD not imputed","SD not imputed","SD not imputed"
"22",96,96.1,-1.12435482647868,0.0769230769230769,16,-0.574435241027575,0.0769230769230769,16,"experimental","microcosm","aquatic","stream","Portugal","Alnus glutinosa","leaf discs",40,NA,"dry mass remaining","%","leaf discs","M","D","fungi","biomass","mg/g leaf DM","metals","Zn","no",NA,6.16586647676387,-5.1892834455239,11.3551499222878,"Correlation","SD not imputed","SD not imputed","SD approximated"
