"","ECD.type","B.metric","Indirect_Bmediated","Direct"
"ResCoefs_pol_bef","Stressors","Diversity",-0.14147358086884,-0.0699826
"ResCoefs_pol_def","Stressors","Abundance",0.00222987108793708,-0.055060412371134
"ResCoefs_nut_bef","Nutrients","Diversity",-0.00373850124777,-0.1581356
"ResCoefs_nut_def","Nutrients","Abundance",-0.0103037791294598,-0.247958058058058
